Description,Carbohydrate (g),Protein (g),Total Fat (g),Kilocalories,Fiber (g),Sugar Total (g),Calcium (mg),Iron (mg),Vitamin C (mg),Vitamin E (mg),Sodium (mg),Cholesterol (mg)
"FRUIT COCKTAIL,CND,EX LT SYRUP,SOL&LIQUIDS",11.63,0.4,0.07,45,1.100000024,0.0,8,0.3,3.0,0.0,4,0
"FRUIT COCKTAIL,CND,LT SYRUP,SOL&LIQUIDS",14.93,0.4,0.07,57,1.0,13.93000031,6,0.29,1.9,0.5,6,0
"FRUIT COCKTAIL,CND,HVY SYRUP,SOL&LIQUIDS",18.91,0.39,0.07,73,1.0,17.90999985,6,0.29,1.9,0.4,6,0
"FRUIT COCKTAIL,CND,EX HVY SYRUP,SOL&LIQUIDS",22.89,0.39,0.07,88,1.100000024,0.0,6,0.28,1.9,0.0,6,0
"FRUIT SALAD,CND,H2O PK,SOL&LIQUIDS",7.87,0.35,0.07,30,1.0,0.0,7,0.3,1.9,0.0,3,0
"FRUIT SALAD,CND,JUC PK,SOL&LIQUIDS",13.05,0.51,0.03,50,1.0,0.0,11,0.25,3.3,0.0,5,0
"FRUIT SALAD,CND,LT SYRUP,SOL&LIQUIDS",15.14,0.34,0.07,58,1.0,0.0,7,0.29,2.5,0.0,6,0
"FRUIT SALAD,CND,HVY SYRUP,SOL&LIQUIDS",19.11,0.34,0.07,73,1.0,18.11000061,6,0.28,2.4,0.4,6,0
"FRUIT SALAD,CND,EX HVY SYRUP,SOL&LIQUIDS",22.77,0.33,0.06,88,1.0,0.0,6,0.28,2.1,0.0,5,0
"GOOSEBERRIES,RAW",10.18,0.88,0.58,44,4.300000191,0.0,25,0.31,27.7,0.37,1,0
"GOOSEBERRIES,CND,LT SYRUP PK,SOL&LIQUIDS",18.75,0.65,0.2,73,2.400000095,0.0,16,0.33,10.0,0.0,2,0
"GRAPEFRUIT,RAW,PINK&RED&WHITE,ALL AREAS",8.08,0.63,0.1,32,1.100000024,6.980000019,12,0.09,34.4,0.13,0,0
"GRAPEFRUIT,RAW,PINK&RED,ALL AREAS",10.66,0.77,0.14,42,1.600000024,6.889999866,22,0.08,31.2,0.13,0,0
"GRAPEFRUIT,RAW,PINK&RED,CALIFORNIA&ARIZONA",9.69,0.5,0.1,37,0.0,0.0,11,0.08,38.1,0.0,1,0
"GRAPEFRUIT,RAW,PINK & RED,FLORIDA",7.5,0.55,0.1,30,1.100000024,0.0,15,0.12,37.0,0.0,0,0
"GRAPEFRUIT,RAW,WHITE,ALL AREAS",8.41,0.69,0.1,33,1.100000024,7.309999943,12,0.06,33.3,0.13,0,0
"GRAPEFRUIT,RAW,WHITE,CALIFORNIA",9.09,0.88,0.1,37,0.0,0.0,12,0.08,33.3,0.0,0,0
"GRAPEFRUIT,RAW,WHITE,FLORIDA",8.19,0.63,0.1,32,0.0,0.0,15,0.05,37.0,0.0,0,0
"GRAPEFRUIT,SECTIONS,CND,H2O PK,SOL&LIQUIDS",9.15,0.58,0.1,36,0.400000006,8.75,15,0.41,21.8,0.09,2,0
"GRAPEFRUIT,SECTIONS,CND,JUC PK,SOL&LIQUIDS",9.21,0.7,0.09,37,0.400000006,8.800000191,15,0.21,33.9,0.09,7,0
"GRAPEFRUIT,SECTIONS,CND,LT SYRUP PK,SOL&LIQUIDS",15.44,0.56,0.1,60,0.400000006,15.03999996,14,0.4,21.3,0.09,2,0
"GRAPEFRUIT JUC,WHITE,CND,UNSWTND",8.96,0.52,0.1,38,0.100000001,8.859999657,7,0.2,29.2,0.04,1,0
"GRAPEFRUIT JUC,WHITE,CND,SWTND",11.13,0.58,0.09,46,0.100000001,11.02999973,8,0.36,26.9,0.04,2,0
"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,UNDIL",34.56,1.97,0.48,146,0.400000006,34.15999985,27,0.49,119.8,0.14,3,0
"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,DIL W/ 3 VOLUME H2O",9.73,0.55,0.13,41,0.100000001,9.630000114,8,0.14,33.7,0.04,1,0
"GRAPEFRUIT JUC,WHITE,RAW",9.2,0.5,0.1,39,0.100000001,9.100000381,9,0.2,38.0,0.22,1,0
"GRAPE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",14.77,0.37,0.13,60,0.200000003,14.19999981,11,0.25,25.0,0.0,5,0
"GRAPES,AMERICAN TYPE (SLIP SKN),RAW",17.15,0.63,0.35,67,0.899999976,16.25,14,0.29,4.0,0.19,2,0
"GRAPES,RED OR GRN (EURO TYPE,SUCH AS THOMPSON SEEDLESS),RAW",18.1,0.72,0.16,69,0.899999976,15.47999954,10,0.36,10.8,0.19,2,0
"GRAPES,CND,THOMPSON SEEDLESS,H2O PK,SOL&LIQUIDS",10.3,0.5,0.11,40,0.600000024,9.699999809,10,0.98,1.0,0.13,6,0
"GRAPES,CND,THOMPSON SEEDLESS,HVY SYRUP PK,SOL&LIQUIDS",19.65,0.48,0.1,76,0.600000024,19.04999924,10,0.94,1.0,0.13,5,0
"GRAPE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",14.77,0.37,0.13,60,0.200000003,14.19999981,11,0.25,0.1,0.0,5,0
"GRAPE JUC COCKTAIL,FRZ CONC,UNDIL,W/ ADDED VIT C",44.37,0.65,0.31,179,0.300000012,44.06999969,13,0.36,83.1,0.0,7,0
"GRAPE JUC COCKTAIL,FRZ CONC,DIL W/ 3 VOL H2O,W/ ADDED VIT C",12.75,0.19,0.09,51,0.100000001,12.64999962,4,0.1,23.9,0.0,2,0
"GROUNDCHERRIES,(CAPE-GOOSEBERRIES OR POHA),RAW",11.2,1.9,0.7,53,0.0,0.0,9,1.0,11.0,0.0,0,0
"GUAVAS,COMMON,RAW",14.32,2.55,0.95,68,5.400000095,8.920000076,18,0.26,228.3,0.73,2,0
"GUAVAS,STRAWBERRY,RAW",17.36,0.58,0.6,69,5.400000095,0.0,21,0.22,37.0,0.0,37,0
"GUAVA SAUCE,COOKED",9.48,0.32,0.14,36,3.599999905,5.880000114,7,0.18,146.4,0.55,4,0
"JACKFRUIT,RAW",24.01,1.47,0.3,94,1.600000024,0.0,34,0.6,6.7,0.0,3,0
"JAVA-PLUM,(JAMBOLAN),RAW",15.56,0.72,0.23,60,0.0,0.0,19,0.19,14.3,0.0,14,0
"JUJUBE,RAW",20.23,1.2,0.2,79,0.0,0.0,21,0.48,69.0,0.0,3,0
"JUJUBE,DRIED",73.6,3.7,1.1,287,0.0,0.0,79,1.8,13.0,0.0,9,0
"KIWI FRUIT,(CHINESE GOOSEBERRIES),FRSH,RAW",14.66,1.14,0.52,61,3.0,8.989999771,34,0.31,92.7,1.46,3,0
"KUMQUATS,RAW",15.9,1.88,0.86,71,6.5,9.359999657,62,0.86,43.9,0.15,10,0
"LEMONS,RAW,WITHOUT PEEL",9.32,1.1,0.3,29,2.799999952,2.5,26,0.6,53.0,0.15,2,0
"LEMONS,RAW,WITH PEEL",10.7,1.2,0.3,20,4.699999809,0.0,61,0.7,77.0,0.0,3,0
"LEMON JUICE,RAW",8.63,0.38,0.0,25,0.400000006,2.400000095,7,0.03,46.0,0.15,1,0
"LEMON JUC,CND OR BTLD",6.48,0.4,0.29,21,0.400000006,2.400000095,11,0.13,24.8,0.15,21,0
"LEMON JUC,FRZ,UNSWTND,SINGLE STRENGTH",6.5,0.46,0.32,22,0.400000006,2.400000095,8,0.12,31.5,0.08,1,0
"LEMON PEEL,RAW",16.0,1.5,0.3,47,10.60000038,4.170000076,134,0.8,129.0,0.25,6,0
"LIMES,RAW",10.54,0.7,0.2,30,2.799999952,1.690000057,33,0.6,29.1,0.22,2,0
"LIME JUICE,RAW",8.42,0.42,0.07,25,0.400000006,1.690000057,14,0.09,30.0,0.22,2,0
"LIME JUC,CND OR BTLD,UNSWTND",6.69,0.25,0.23,21,0.400000006,1.370000005,12,0.23,6.4,0.12,16,0
"LITCHIS,RAW",16.53,0.83,0.44,66,1.299999952,15.22999954,5,0.31,71.5,0.07,1,0
"LITCHIS,DRIED",70.7,3.8,1.2,277,4.599999905,66.09999847,33,1.7,183.0,0.31,3,0
"LOGANBERRIES,FROZEN",13.02,1.52,0.31,55,5.300000191,7.699999809,26,0.64,15.3,0.87,1,0
"LONGANS,RAW",15.14,1.31,0.1,60,1.100000024,0.0,1,0.13,84.0,0.0,0,0
"LONGANS,DRIED",74.0,4.9,0.4,286,0.0,0.0,45,5.4,28.0,0.0,48,0
"LOQUATS,RAW",12.14,0.43,0.2,47,1.700000048,0.0,16,0.28,1.0,0.0,1,0
"MAMMY-APPLE,(MAMEY),RAW",12.5,0.5,0.5,51,3.0,0.0,11,0.7,14.0,0.0,15,0
"MANGOS,RAW",17.0,0.51,0.27,65,1.799999952,14.80000019,10,0.13,27.7,1.12,2,0
"MANGOSTEEN,CND,SYRUP PK",17.91,0.41,0.58,73,1.799999952,0.0,12,0.3,2.9,0.0,7,0
"MELONS,CANTALOUPE,RAW",8.16,0.84,0.19,34,0.899999976,7.860000134,9,0.21,36.7,0.05,16,0
"MELONS,CASABA,RAW",6.58,1.11,0.1,28,0.899999976,5.690000057,11,0.34,21.8,0.05,9,0
"MELONS,HONEYDEW,RAW",9.09,0.54,0.14,36,0.800000012,8.119999886,6,0.17,18.0,0.02,18,0
"MELON BALLS,FROZEN",7.94,0.84,0.25,33,0.699999988,0.0,10,0.29,6.2,0.0,31,0
"FRUIT,MXD,(PEACH&PEAR&PNAPPL),CND,HVY SYRUP,SOL&LIQUIDS",18.76,0.37,0.1,72,1.0,0.0,1,0.36,69.0,0.0,4,0
"FRUIT,MXD,(PRUNE&APRICOT&PEAR),DRIED",64.06,2.46,0.49,243,7.800000191,0.0,38,2.71,3.8,0.0,18,0
"FRUIT,MXD,(PCH, CHER-SWT & SR, RASPB, GRAPE, BOYS),FRZ,SWTND",24.23,1.42,0.18,98,1.899999976,0.0,7,0.28,75.0,0.0,3,0
"MULBERRIES,RAW",9.8,1.44,0.39,43,1.700000048,8.100000381,39,1.85,36.4,0.87,10,0
"NECTARINES,RAW",10.55,1.06,0.32,44,1.700000048,7.889999866,6,0.28,5.4,0.77,0,0
"OHELOBERRIES,RAW",6.84,0.38,0.22,28,0.0,0.0,7,0.09,6.0,0.0,1,0
"OLIVES,RIPE,CND (SMALL-EXTRA LRG)",6.26,0.84,10.68,115,3.200000048,0.0,88,3.3,0.9,1.65,872,0
"OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)",5.61,0.97,6.87,81,2.5,0.0,94,3.32,1.5,1.65,898,0
"OLIVES,PICKLED,CND OR BTLD,GRN",3.84,1.03,15.32,145,3.299999952,0.540000021,52,0.49,0.0,3.81,1556,0
"ORANGES,RAW,ALL COMM VAR",11.75,0.94,0.12,47,2.400000095,9.350000381,40,0.1,53.2,0.18,0,0
"ORANGES,RAW,CALIFORNIA,VALENCIAS",11.89,1.04,0.3,49,2.5,0.0,40,0.09,48.5,0.0,0,0
"ORANGES,RAW,NAVELS",12.54,0.91,0.15,49,2.200000048,8.5,43,0.13,59.1,0.15,1,0
"ORANGES,RAW,FLORIDA",11.54,0.7,0.21,46,2.400000095,9.140000343,43,0.09,45.0,0.18,0,0
"ORANGES,RAW,WITH PEEL",15.5,1.3,0.3,63,4.5,0.0,70,0.8,71.0,0.0,2,0
"ORANGE JUICE,RAW",10.4,0.7,0.2,45,0.200000003,8.399999619,11,0.2,50.0,0.04,1,0
"ORANGE JUC,CND,UNSWTND",11.01,0.68,0.15,47,0.300000012,8.760000229,10,0.1,30.1,0.2,4,0
"ORANGE JUC,CHILLED,INCL FROM CONC",10.19,0.8,0.13,44,0.200000003,0.0,10,0.17,32.9,0.0,1,0
"ORANGE JUC,CHILLED,INCL FROM CONC,FORT W/ CA & VITAMIN D",10.06,0.8,0.27,44,0.200000003,0.0,201,0.17,32.9,0.0,1,0
"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL",38.17,2.39,0.21,159,0.800000012,37.36999893,32,0.35,137.9,0.71,3,0
"ORANGE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",10.78,0.68,0.06,45,0.200000003,8.399999619,9,0.1,38.9,0.2,1,0
"ORANGE PEEL,RAW",25.0,1.5,0.2,97,10.60000038,0.0,161,0.8,136.0,0.25,3,0
"ORANGE-GRAPEFRUIT JUC,CND,UNSWTND",10.28,0.6,0.1,43,0.100000001,10.18000031,8,0.46,29.1,0.14,3,0
"TANGERINES,(MANDARIN ORANGES),RAW",13.34,0.81,0.31,53,1.799999952,10.57999992,37,0.15,26.7,0.2,2,0
"TANGERINES,(MANDARIN ORANGES),CND,JUC PK",9.57,0.62,0.03,37,0.699999988,8.869999886,11,0.27,34.2,0.1,5,0
"TANGERINES,(MANDARIN ORANGES),CND,LT SYRUP PK",16.19,0.45,0.1,61,0.699999988,15.48999977,7,0.37,19.8,0.1,6,0
"TANGERINE JUICE,RAW",10.1,0.5,0.2,43,0.200000003,9.899999619,18,0.2,31.0,0.13,1,0
"TANGERINE JUC,CND,SWTND",12.0,0.5,0.2,50,0.200000003,11.80000019,18,0.2,22.0,0.15,1,0
"TANGERINE JUC,FRZ CONC,SWTND,UNDIL",38.85,1.5,0.39,161,0.600000024,0.0,27,0.34,85.1,0.0,3,0
"TANGERINE JUC,FRZ CONC,SWTND,DIL W/3 VOLUME H2O",11.06,0.43,0.11,46,0.0,0.0,8,0.1,24.2,0.0,1,0
"PAPAYAS,RAW",9.81,0.61,0.14,39,1.799999952,5.900000095,24,0.1,61.8,0.73,3,0
"PAPAYA NECTAR,CANNED",14.51,0.17,0.15,57,0.600000024,13.90999985,10,0.34,3.0,0.24,5,0
"PASSION-FRUIT,(GRANADILLA),PURPLE,RAW",23.38,2.2,0.7,97,10.39999962,11.19999981,12,1.6,30.0,0.02,28,0
"PASSION-FRUIT JUC,PURPLE,RAW",13.6,0.39,0.05,51,0.200000003,13.39999962,4,0.24,29.8,0.01,6,0
"PASSION-FRUIT JUC,YEL,RAW",14.45,0.67,0.18,60,0.200000003,14.25,4,0.36,18.2,0.01,6,0
"PEACHES,RAW",9.54,0.91,0.25,39,1.5,8.390000343,6,0.25,6.6,0.73,0,0
"PEACHES,CND,H2O PK,SOL&LIQUIDS",6.11,0.44,0.06,24,1.299999952,4.809999943,2,0.32,2.9,0.49,3,0
"PEACHES,CND,JUC PK,SOL&LIQUIDS",11.57,0.63,0.03,44,1.299999952,10.27000046,6,0.27,3.6,0.49,4,0
"PEACHES,CND,EX LT SYRUP,SOL&LIQUIDS",11.1,0.4,0.1,42,1.0,0.0,5,0.3,3.0,0.0,5,0
"PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",14.55,0.45,0.03,54,1.299999952,13.25,3,0.36,2.4,0.49,5,0
"PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS",19.94,0.45,0.1,74,1.299999952,18.63999939,3,0.27,2.8,0.49,6,0
"PEACHES,CND,EX HVY SYRUP PK,SOL&LIQUIDS",26.06,0.47,0.03,96,1.0,0.0,3,0.29,1.2,0.0,8,0
"PEACHES,SPICED,CND,HVY SYRUP PK,SOL&LIQUIDS",20.08,0.41,0.1,75,1.299999952,18.78000069,6,0.28,5.3,0.49,4,0
"PEACHES,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",83.18,4.89,1.03,325,0.0,0.0,38,5.51,10.6,0.0,10,0
"PEACHES,DEHYD (LOW-MOISTURE),SULFURED,STWD",34.14,2.01,0.42,133,0.0,0.0,16,2.26,6.8,0.0,4,0
"PEACHES,DRIED,SULFURED,UNCKD",61.33,3.61,0.76,239,8.199999809,41.74000168,28,4.06,4.8,0.19,7,0
"PEACHES,DRIED,SULFURED,STWD,WO/ SUGAR",19.69,1.16,0.25,77,2.700000048,16.98999977,9,1.31,3.7,0.06,2,0
"PEACHES,DRIED,SULFURED,STWD,W/ SUGAR",26.6,1.06,0.22,103,2.400000095,0.0,8,1.2,3.4,0.0,2,0
"PEACHES,FRZ,SLICED,SWTND",23.98,0.63,0.13,94,1.799999952,22.18000031,3,0.37,94.2,0.62,6,0
"PEACH NECTAR,CND,WO/ VIT C",13.92,0.27,0.02,54,0.600000024,13.31999969,5,0.19,5.3,0.29,7,0
"PEARS,RAW",15.46,0.38,0.12,58,3.099999905,9.800000191,9,0.17,4.2,0.12,1,0
"PEARS,CND,H2O PK,SOL&LIQUIDS",7.81,0.19,0.03,29,1.600000024,6.099999905,4,0.21,1.0,0.08,2,0
"PEARS,CND,JUC PK,SOL&LIQUIDS",12.94,0.34,0.07,50,1.600000024,9.699999809,9,0.29,1.6,0.08,4,0
"PEARS,CND,EX LT SYRUP PK,SOL&LIQUIDS",12.2,0.3,0.1,47,1.600000024,0.0,7,0.2,2.0,0.0,2,0
"PEARS,CND,LT SYRUP PK,SOL&LIQUIDS",15.17,0.19,0.03,57,1.600000024,12.10000038,5,0.28,0.7,0.08,5,0
"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS",19.17,0.2,0.13,74,1.600000024,15.19999981,5,0.22,1.1,0.08,5,0
"PEARS,CND,EX HVY SYRUP PK,SOL&LIQUIDS",25.25,0.19,0.13,97,1.600000024,0.0,5,0.22,1.1,0.0,5,0
"PEARS,DRIED,SULFURED,UNCKD",69.7,1.87,0.63,262,7.5,62.20000076,34,2.1,7.0,0.06,6,0
"PEARS,DRIED,SULFURED,STWD,WO/ SUGAR",33.81,0.91,0.31,127,6.400000095,27.40999985,16,1.02,4.0,0.03,3,0
"PEARS,DRIED,SULFURED,STWD,W/ SUGAR",37.14,0.86,0.29,140,5.800000191,0.0,15,0.97,3.8,0.0,3,0
"PEAR NECTAR,CND,WO/ VIT C",15.76,0.11,0.01,60,0.600000024,15.15999985,5,0.26,1.1,0.05,4,0
"PERSIMMONS,JAPANESE,RAW",18.59,0.58,0.19,70,3.599999905,12.52999973,8,0.15,7.5,0.73,1,0
"PERSIMMONS,JAPANESE,DRIED",73.43,1.38,0.59,274,14.5,0.0,25,0.74,0.0,0.0,2,0
"PERSIMMONS,NATIVE,RAW",33.5,0.8,0.4,127,0.0,0.0,27,2.5,66.0,0.0,1,0
"PINEAPPLE,RAW,ALL VAR",13.12,0.54,0.12,50,1.399999976,9.850000381,13,0.29,47.8,0.02,1,0
"PINEAPPLE,CND,H2O PK,SOL&LIQUIDS",8.3,0.43,0.09,32,0.800000012,7.5,15,0.4,7.7,0.01,1,0
"PINEAPPLE,CND,JUC PK,SOL&LIQUIDS",15.7,0.42,0.08,60,0.800000012,14.44999981,14,0.28,9.5,0.01,1,0
"PINEAPPLE,CND,LT SYRUP PK,SOL&LIQUIDS",13.45,0.36,0.12,52,0.800000012,12.64999962,14,0.39,7.5,0.01,1,0
"PINEAPPLE,CND,HVY SYRUP PK,SOL&LIQUIDS",20.2,0.35,0.11,78,0.800000012,16.89999962,14,0.38,7.4,0.01,1,0
"PINEAPPLE,CND,EX HVY SYRUP PK,SOL&LIQUIDS",21.5,0.34,0.11,83,0.800000012,0.0,14,0.38,7.3,0.0,1,0
"PINEAPPLE,FRZ,CHUNKS,SWTND",22.2,0.4,0.1,86,1.100000024,21.10000038,9,0.4,8.0,0.02,2,0
"PINEAPPLE JUC,CND,UNSWTND,WO/ VIT C",12.87,0.36,0.12,53,0.200000003,9.979999542,13,0.31,10.0,0.02,2,0
"PINEAPPLE JUC,FRZ CONC,UNSWTND,UNDIL",44.3,1.3,0.1,179,0.699999988,43.59999847,39,0.9,42.0,0.03,3,0
"PINEAPPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",12.77,0.4,0.03,52,0.200000003,12.56999969,11,0.3,12.0,0.01,1,0
"PITANGA,(SURINAM-CHERRY),RAW",7.49,0.8,0.4,33,0.0,0.0,9,0.2,26.3,0.0,3,0
"PLANTAINS,RAW",31.89,1.3,0.37,122,2.299999952,15.0,3,0.6,18.4,0.14,4,0
"PLANTAINS,COOKED",31.15,0.79,0.18,116,2.299999952,14.0,2,0.58,10.9,0.13,5,0
"PLUMS,RAW",11.42,0.7,0.28,46,1.399999976,9.920000076,6,0.17,9.5,0.26,0,0
"PLUMS,CND,PURPLE,H2O PK,SOL&LIQUIDS",11.03,0.39,0.01,41,0.899999976,10.10000038,7,0.16,2.7,0.18,1,0
"PLUMS,CND,PURPLE,JUC PK,SOL&LIQUIDS",15.15,0.51,0.02,58,0.899999976,14.22000027,10,0.34,2.8,0.18,1,0
"PLUMS,CND,PURPLE,LT SYRUP PK,SOL&LIQUIDS",16.28,0.37,0.1,63,0.899999976,15.35000038,9,0.86,0.4,0.18,20,0
"PLUMS,CND,PURPLE,HVY SYRUP PK,SOL&LIQUIDS",23.24,0.36,0.1,89,0.899999976,22.30999947,9,0.84,0.4,0.18,19,0
"PLUMS,CND,PURPLE,EX HVY SYRUP PK,SOL&LIQUIDS",26.31,0.36,0.1,101,1.0,0.0,9,0.82,0.4,0.0,19,0
"POMEGRANATES,RAW",18.7,1.67,1.17,83,4.0,13.67000008,10,0.3,10.2,0.6,3,0
"PRICKLY PEARS,RAW",9.57,0.73,0.51,41,3.599999905,0.0,56,0.3,14.0,0.0,5,0
"PRUNES,CND,HVY SYRUP PK,SOL&LIQUIDS",27.8,0.87,0.2,105,3.799999952,0.0,17,0.41,2.8,0.0,3,0
"PRUNES,DEHYD (LOW-MOISTURE),UNCKD",89.07,3.7,0.73,339,0.0,0.0,72,3.52,0.0,0.0,5,0
"PRUNES,DEHYD (LOW-MOISTURE),STWD",29.7,1.23,0.24,113,0.0,0.0,24,1.17,0.0,0.0,2,0
"PLUMS,DRIED (PRUNES),UNCKD",63.88,2.18,0.38,240,7.099999905,38.13000107,43,0.93,0.6,0.43,2,0
"PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR",28.08,0.96,0.16,107,3.099999905,24.97999954,19,0.41,2.9,0.19,1,0
"PLUMS,DRIED (PRUNES),STWD,W/ ADDED SUGAR",32.88,1.09,0.22,124,3.799999952,0.0,21,1.04,2.7,0.0,2,0
"PRUNE JUICE,CANNED",17.45,0.61,0.03,71,1.0,16.45000076,12,1.18,4.1,0.12,4,0
"PUMMELO,RAW",9.62,0.76,0.04,38,1.0,0.0,4,0.11,61.0,0.0,1,0
"QUINCES,RAW",15.3,0.4,0.1,57,1.899999976,0.0,11,0.7,15.0,0.0,4,0
"RAISINS,GOLDEN SEEDLESS",79.52,3.39,0.46,302,4.0,59.18999863,53,1.79,3.2,0.12,12,0
"RAISINS,SEEDLESS",79.18,3.07,0.46,299,3.700000048,59.18999863,50,1.88,2.3,0.12,11,0
"RAISINS,SEEDED",78.47,2.52,0.54,296,6.800000191,0.0,28,2.59,5.4,0.0,28,0
"RAMBUTAN,CND,SYRUP PK",20.87,0.65,0.21,82,0.899999976,0.0,22,0.35,4.9,0.0,11,0
"RASPBERRIES,RAW",11.94,1.2,0.65,52,6.5,4.420000076,25,0.69,26.2,0.87,1,0
"RASPBERRIES,CND,RED,HVY SYRUP PK,SOL&LIQUIDS",23.36,0.83,0.12,91,3.299999952,20.05999947,11,0.42,8.7,0.59,3,0
"RASPBERRIES,FRZ,RED,SWTND",26.16,0.7,0.16,103,4.400000095,21.76000023,15,0.65,16.5,0.72,1,0
"RHUBARB,RAW",4.54,0.9,0.2,21,1.799999952,1.100000024,86,0.22,8.0,0.27,4,0
"RHUBARB,FROZEN,UNCOOKED",5.1,0.55,0.11,21,1.799999952,1.100000024,194,0.29,4.8,0.27,2,0
"RHUBARB,FRZ,CKD,W/SUGAR",31.2,0.39,0.05,116,2.0,28.70000076,145,0.21,3.3,0.19,1,0
"ROSELLE,RAW",11.31,0.96,0.64,49,0.0,0.0,215,1.48,12.0,0.0,6,0
"ROSE-APPLES,RAW",5.7,0.6,0.3,25,0.0,0.0,29,0.07,22.3,0.0,0,0
"SAPODILLA,RAW",19.96,0.44,1.1,83,5.300000191,0.0,21,0.8,14.7,0.0,12,0
"SAPOTES,(MARMALADE PLUM),RAW",33.76,2.12,0.6,134,2.599999905,0.0,39,1.0,20.0,0.0,10,0
"SOURSOP,RAW",16.84,1.0,0.3,66,3.299999952,13.53999996,14,0.6,20.6,0.08,14,0
"STRAWBERRIES,RAW",7.68,0.67,0.3,32,2.0,4.889999866,16,0.41,58.8,0.29,1,0
"STRAWBERRIES,CND,HVY SYRUP PK,SOL&LIQUIDS",23.53,0.56,0.26,92,1.700000048,21.82999992,13,0.49,31.7,0.19,4,0
"STRAWBERRIES,FRZ,UNSWTND",9.13,0.43,0.11,35,2.099999905,4.559999943,16,0.75,41.2,0.29,2,0
"STRAWBERRIES,FRZ,SWTND,WHL",21.0,0.52,0.14,78,1.899999976,18.61000061,11,0.47,39.5,0.24,1,0
"STRAWBERRIES,FRZ,SWTND,SLICED",25.92,0.53,0.13,96,1.899999976,24.01000023,11,0.59,41.4,0.23,3,0
"SUGAR-APPLES,(SWEETSOP),RAW",23.64,2.06,0.29,94,4.400000095,0.0,24,0.6,36.3,0.0,9,0
"TAMARINDS,RAW",62.5,2.8,0.6,239,5.099999905,57.40000153,74,2.8,3.5,0.1,28,0
"FRUIT SALAD,TROPICAL,CND,HVY SYRUP,SOL&LIQUIDS",22.36,0.41,0.1,86,1.299999952,0.0,13,0.52,17.5,0.0,2,0
"WATERMELON,RAW",7.55,0.61,0.15,30,0.400000006,6.199999809,7,0.24,8.1,0.05,1,0
"MARASCHINO CHERRIES,CND,DRND",41.97,0.22,0.21,165,3.200000048,38.77000046,54,0.43,0.0,0.05,4,0
"FEIJOA,RAW",10.63,1.24,0.78,49,0.0,0.0,17,0.08,20.3,0.0,3,0
"PEARS,ASIAN,RAW",10.65,0.5,0.23,42,3.599999905,7.050000191,4,0.0,3.8,0.12,0,0
"FRUIT COCKTAIL,CND,HVY SYRUP,DRND",18.8,0.47,0.1,70,1.700000048,17.13999939,7,0.29,1.9,0.6,6,0
"BLUEBERRIES,CND,LT SYRUP,DRND",22.66,1.04,0.4,88,2.599999905,17.45000076,6,0.43,0.5,1.38,3,0
"BLUEBERRIES,WILD,CND,HVY SYRUP,DRND",28.32,0.56,0.34,107,4.900000095,19.28000069,19,2.2,0.3,0.0,1,0
"PINEAPPLE,CND,JUC PK,DRND",15.56,0.51,0.11,60,1.299999952,14.26000023,16,0.28,9.4,0.02,1,0
"APRICOTS,CND,HVY SYRUP,DRND",21.31,0.64,0.11,83,2.700000048,18.64999962,10,0.3,3.1,0.89,4,0
"CHERRIES,SWT,CND,PITTED,HVY SYRUP,DRND",21.07,0.73,0.21,83,2.299999952,16.18000031,10,0.35,3.6,0.17,3,0
"PEACHES,CND,HVY SYRUP,DRND",19.79,0.54,0.14,77,2.200000048,17.62999916,3,0.27,2.8,0.73,6,0
"PEARS,CND,HVY SYRUP,DRND",19.08,0.24,0.18,74,2.700000048,16.42000008,6,0.22,1.1,0.12,5,0
"PLUMS,CND,HVY SYRUP,DRND",23.12,0.44,0.14,89,1.5,21.57999992,10,0.84,0.4,0.26,19,0
"TANGERINES,(MANDARIN ORANGES),CND,JUC PK,DRND",9.41,0.75,0.04,38,1.200000048,8.25,12,0.27,33.9,0.15,5,0
"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",11.3,0.1,0.13,46,0.200000003,9.619999886,8,0.12,38.5,0.01,4,0
"APPLESAUCE,CND,UNSWTND,W/ VIT C",11.27,0.17,0.1,42,1.100000024,9.390000343,4,0.23,21.2,0.16,2,0
"APPLESAUCE,CND,SWTND,W/SALT",19.91,0.18,0.18,76,1.200000048,0.0,4,0.35,1.7,0.0,28,0
"APRICOT NECTAR,CND,W/ VIT C",14.39,0.37,0.09,56,0.600000024,0.0,7,0.38,54.4,0.0,3,0
"GRAPEFRUIT JUICE,PINK,RAW",9.2,0.5,0.1,39,0.0,0.0,9,0.2,38.0,0.0,1,0
